"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"19-Feb-2020","    14456.65","    14536.70","    14374.10","    14520.25","       99514572","         5710.32"
"20-Feb-2020","    14511.05","    14569.95","    14438.45","    14510.40","      170935284","         8905.64"
"24-Feb-2020","    14398.30","    14405.85","    14215.00","    14236.15","      144900357","         8119.47"
"25-Feb-2020","    14282.10","    14312.85","    14202.80","    14236.10","      127886527","         7059.95"
"26-Feb-2020","    14156.75","    14251.95","    14072.45","    14132.70","      137970847","         7888.14"
"27-Feb-2020","    14113.25","    14113.25","    13953.50","    14086.05","      159372914","         8661.49"
"28-Feb-2020","    13778.35","    13784.65","    13520.35","    13566.45","      233891364","        14864.25"
"02-Mar-2020","    13824.50","    13875.85","    13374.25","    13520.00","      229845084","        11397.72"
"03-Mar-2020","    13595.55","    13722.15","    13478.05","    13636.95","      197749915","        10043.88"
"04-Mar-2020","    13685.00","    13695.70","    13245.45","    13439.50","      210357904","        11488.27"
"05-Mar-2020","    13499.00","    13607.70","    13394.30","    13472.75","      272492672","        12287.93"
"06-Mar-2020","    13027.90","    13174.60","    12851.00","    13082.50","      251980382","        12342.69"
"09-Mar-2020","    12765.75","    12780.85","    12272.10","    12522.20","      263819199","        13092.52"
"11-Mar-2020","    12391.40","    12692.70","    12383.45","    12560.45","      252460586","        12187.08"
"12-Mar-2020","    12037.50","    12054.45","    11293.70","    11454.80","      331580667","        16645.91"
"13-Mar-2020","    10830.25","    12332.00","    10305.05","    12101.60","      412176509","        20278.35"
"16-Mar-2020","    11589.65","    11600.75","    11069.60","    11123.40","      223248967","        11751.22"
"17-Mar-2020","    11215.75","    11248.00","    10541.70","    10613.60","      241285462","        11234.03"
"18-Mar-2020","    10709.45","    10753.40","     9711.40","     9800.30","      346700911","        15652.54"
"19-Mar-2020","     9234.70","    10081.60","     8866.65","     9598.35","      372356304","        16149.81"
"20-Mar-2020","     9539.95","    10113.30","     9175.80","     9871.95","      454848867","        17760.44"
"23-Mar-2020","     8898.40","     9210.20","     8239.15","     8298.50","      273309987","        10887.86"
"24-Mar-2020","     8623.00","     8746.70","     7984.20","     8418.70","      303850237","        12725.91"
"25-Mar-2020","     8285.25","     9247.85","     8256.45","     9203.30","      294945987","        12487.45"
"26-Mar-2020","     9366.95","    10073.85","     9174.25","     9698.55","      394293210","        16362.04"
"27-Mar-2020","    10159.00","    10428.60","     9594.60","     9754.30","      405222974","        17741.39"
"30-Mar-2020","     9408.00","     9528.55","     8993.60","     9030.65","      254528339","        11669.87"
"31-Mar-2020","     9327.75","     9439.95","     9106.20","     9317.30","      238862005","        11909.42"
"01-Apr-2020","     9293.90","     9319.95","     8889.25","     8942.55","      206865917","         9513.47"
"03-Apr-2020","     8986.60","     8989.50","     8521.15","     8562.10","      258150876","        11327.13"
"07-Apr-2020","     9072.45","     9328.95","     8802.00","     9278.30","      319179446","        14985.66"
"08-Apr-2020","     9152.60","     9814.30","     9084.40","     9243.45","      347658511","        15555.30"
"09-Apr-2020","     9485.00","     9836.35","     9424.70","     9803.00","      267033096","        12704.41"
"13-Apr-2020","     9814.30","     9842.35","     9454.70","     9500.65","      209142336","        10082.33"
"15-Apr-2020","     9780.00","     9780.10","     9136.65","     9239.35","      294025414","        14034.29"
"16-Apr-2020","     9191.15","     9466.15","     9097.00","     9392.60","      312332970","        13396.43"
"17-Apr-2020","     9821.60","     9972.20","     9577.25","     9905.55","      411858140","        17128.68"
"20-Apr-2020","    10112.50","    10142.00","     9898.30","     9930.65","      341757931","        14820.31"
"21-Apr-2020","     9612.45","     9643.30","     9410.35","     9468.80","      247858144","        10692.99"
"22-Apr-2020","     9429.80","     9607.05","     9300.30","     9569.20","      265191133","        11592.07"
"23-Apr-2020","     9647.95","     9851.50","     9526.70","     9808.95","      229820943","        10935.62"
"24-Apr-2020","     9522.60","     9619.45","     9413.95","     9431.85","      267032474","        12204.09"
"27-Apr-2020","     9569.10","     9749.50","     9557.80","     9627.60","      239744655","        12387.27"
"28-Apr-2020","     9766.45","     9978.40","     9696.10","     9951.20","      244696501","        13129.20"
"29-Apr-2020","     9919.40","    10392.85","     9900.50","    10292.90","      352449698","        17536.88"
"30-Apr-2020","    10504.10","    10695.45","    10476.00","    10570.80","      292221446","        14220.22"
"04-May-2020","    10120.65","    10128.20","     9627.10","     9679.95","      236130769","        10364.10"
"05-May-2020","     9856.00","     9912.35","     9460.00","     9483.15","      302022710","        13004.83"
"06-May-2020","     9524.40","     9806.95","     9385.85","     9727.00","      325607262","        14594.25"
"07-May-2020","     9668.70","     9737.85","     9557.80","     9575.75","      206619838","         9049.27"
"08-May-2020","     9751.85","     9775.80","     9535.90","     9559.35","      230156348","         9324.63"
"11-May-2020","     9684.00","     9729.45","     9362.65","     9386.05","      267408214","        10830.18"
"12-May-2020","     9271.60","     9417.25","     9052.75","     9365.85","      311078165","        13610.74"
"13-May-2020","     9867.85","     9909.50","     9604.90","     9679.60","      395195279","        15292.01"
"14-May-2020","     9499.85","     9581.65","     9337.20","     9355.65","      303269159","        12950.23"
"15-May-2020","     9386.35","     9391.30","     9195.30","     9291.60","      194006302","         8428.83"
"18-May-2020","     9275.40","     9275.65","     8654.00","     8675.40","      356525441","        13654.00"
"19-May-2020","     8920.05","     8986.65","     8650.15","     8715.25","      310195113","        12675.66"
"20-May-2020","     8737.85","     9033.85","     8716.95","     8983.50","      258470205","        11723.07"
"21-May-2020","     9019.35","     9142.95","     8900.65","     8924.35","      243602021","        11080.58"
"22-May-2020","     8846.25","     9001.10","     8574.50","     8651.70","      373304804","        15750.49"
"26-May-2020","     8750.10","     8869.80","     8634.10","     8673.65","      231658584","        11048.40"
"27-May-2020","     8743.00","     9235.05","     8687.10","     9181.50","      403953339","        18270.06"
"28-May-2020","     9274.25","     9521.70","     9246.35","     9426.65","      356977908","        16595.56"
"29-May-2020","     9357.05","     9552.90","     9250.15","     9527.05","      402293811","        17500.02"
"01-Jun-2020","     9739.85","    10010.35","     9704.70","     9873.50","      353588198","        16322.67"
"02-Jun-2020","     9934.85","    10215.80","     9859.95","    10187.95","      307395143","        18682.50"
"03-Jun-2020","    10378.40","    10614.65","    10337.50","    10384.50","      414034704","        21728.14"
"04-Jun-2020","    10381.95","    10467.50","    10077.70","    10110.85","      335994639","        17414.60"
"05-Jun-2020","    10171.25","    10402.40","    10094.20","    10334.85","      413366151","        16540.67"
"08-Jun-2020","    10580.95","    10636.65","    10255.10","    10360.20","      449167881","        19023.52"
"09-Jun-2020","    10404.75","    10528.45","    10126.40","    10163.35","      390538852","        17514.08"
"10-Jun-2020","    10190.55","    10343.85","    10138.45","    10280.45","      305036813","        12603.21"
"11-Jun-2020","    10247.15","    10304.15","    10010.75","    10035.70","      332935511","        13664.03"
"12-Jun-2020","     9586.20","    10157.15","     9585.50","    10111.75","      367368549","        17158.50"
"15-Jun-2020","    10033.05","    10044.45","     9735.75","     9817.90","      298020571","        13463.69"
"16-Jun-2020","    10071.40","    10160.45","     9741.80","    10089.95","      383343646","        17297.58"
"17-Jun-2020","    10039.50","    10219.90","     9965.75","    10007.10","      323223810","        13638.69"
"18-Jun-2020","     9977.00","    10402.05","     9949.05","    10372.00","      280591871","        13980.87"
"19-Jun-2020","    10378.50","    10574.15","    10332.35","    10534.75","      474091298","        25723.94"
"22-Jun-2020","    10625.85","    10804.65","    10591.85","    10662.55","      404518914","        18182.59"
"23-Jun-2020","    10730.25","    10917.00","    10601.35","    10881.40","      297998850","        16127.48"
"24-Jun-2020","    10949.20","    10971.20","    10525.85","    10556.70","      360268353","        19817.94"
"25-Jun-2020","    10456.90","    10698.40","    10356.70","    10585.60","      420262926","        21323.74"
"26-Jun-2020","    10686.90","    10699.35","    10497.85","    10588.45","      219504132","        14018.80"
"29-Jun-2020","    10463.45","    10576.90","    10352.40","    10533.20","      211203150","        12875.15"
"30-Jun-2020","    10597.10","    10666.35","    10499.00","    10561.90","      208778676","        12453.81"
"01-Jul-2020","    10558.35","    10877.30","    10540.30","    10843.25","      247460669","        15290.21"
"02-Jul-2020","    10912.35","    11012.70","    10845.15","    10906.75","      251571318","        14923.43"
"03-Jul-2020","    10980.15","    10992.35","    10838.75","    10870.90","      198936161","        11402.82"
"06-Jul-2020","    11062.00","    11121.10","    11005.90","    11023.70","      194110004","        12186.89"
"07-Jul-2020","    11070.65","    11211.65","    10981.60","    11193.90","      289591351","        18826.22"
"08-Jul-2020","    11225.25","    11305.00","    11085.30","    11129.25","      364857973","        19560.66"
"09-Jul-2020","    11174.05","    11338.05","    11153.80","    11305.30","      250692832","        16232.67"
"10-Jul-2020","    11210.95","    11276.60","    11064.10","    11091.20","      255499532","        14566.88"
"13-Jul-2020","    11185.55","    11202.35","    10874.45","    10919.90","      186625278","        12163.12"
"14-Jul-2020","    10818.15","    10836.00","    10556.50","    10652.00","      208334550","        12573.38"
"15-Jul-2020","    10760.00","    10867.35","    10571.65","    10616.10","      205756251","        12274.43"
"16-Jul-2020","    10648.75","    10731.90","    10454.80","    10708.30","      185443085","        10864.13"
"17-Jul-2020","    10720.10","    10963.20","    10713.75","    10915.70","      177721298","        10632.86"
"20-Jul-2020","    11110.70","    11173.00","    11042.40","    11093.20","      326787752","        17000.11"
"21-Jul-2020","    11234.40","    11340.20","    11224.75","    11317.90","      302372679","        22890.80"
"22-Jul-2020","    11432.60","    11454.10","    11195.90","    11290.40","      373304495","        20293.53"
"23-Jul-2020","    11286.05","    11414.60","    11241.05","    11380.35","      226909675","        12287.46"
"24-Jul-2020","    11272.65","    11272.65","    11089.35","    11184.90","      216389848","        10841.84"
"27-Jul-2020","    11169.05","    11169.20","    10889.80","    10909.15","      241566207","        12540.67"
"28-Jul-2020","    10945.80","    11101.65","    10815.35","    11057.05","      307501786","        15328.64"
"29-Jul-2020","    11025.50","    11128.60","    10927.15","    10989.95","      248265513","        13002.76"
"30-Jul-2020","    11049.95","    11101.30","    10772.55","    10795.10","      225180441","        13019.90"
"31-Jul-2020","    10820.15","    10820.70","    10630.85","    10728.85","      296125296","        13889.49"
"03-Aug-2020","    10698.75","    10698.75","    10442.55","    10467.20","      201425131","         9844.45"
"04-Aug-2020","    10541.65","    10736.85","    10476.30","    10706.00","      180831356","        11391.11"
"05-Aug-2020","    10772.20","    10894.45","    10659.70","    10685.35","      226719750","        11830.10"
"06-Aug-2020","    10769.10","    10897.35","    10666.80","    10797.35","      243087182","        12445.65"
"07-Aug-2020","    10776.20","    10840.55","    10699.00","    10823.10","      167501231","        10478.49"
"10-Aug-2020","    10883.35","    10995.50","    10871.40","    10913.80","      156735998","         8786.47"
"11-Aug-2020","    10981.25","    11071.85","    10978.30","    11030.20","      182190486","         9474.05"
"12-Aug-2020","    10994.75","    11032.50","    10907.45","    10996.10","      274415316","        10944.20"
"13-Aug-2020","    11050.05","    11070.00","    10959.40","    10978.20","      210048177","         9102.68"
"14-Aug-2020","    11042.20","    11042.20","    10676.15","    10758.45","      219025151","        10858.27"
"17-Aug-2020","    10865.20","    10865.75","    10675.35","    10783.60","      167202695","         8333.06"
"18-Aug-2020","    10780.85","    11021.55","    10759.55","    10995.60","      164408581","         8616.66"
"19-Aug-2020","    11069.65","    11090.45","    11018.10","    11042.35","      202705689","         8881.89"
"20-Aug-2020","    10909.70","    10948.00","    10852.55","    10897.50","      207863413","         8704.08"
"21-Aug-2020","    10987.60","    11059.30","    10973.20","    11025.75","      194334958","         8770.78"
"24-Aug-2020","    11080.00","    11301.75","    11069.25","    11256.60","      180957642","        10587.91"
"25-Aug-2020","    11317.60","    11382.15","    11242.75","    11358.95","      281380944","        13857.18"
"26-Aug-2020","    11401.25","    11434.40","    11336.50","    11416.70","      219613201","        11970.25"
"27-Aug-2020","    11475.90","    11545.40","    11451.95","    11483.40","      209466887","        11523.04"
"28-Aug-2020","    11509.45","    11740.15","    11490.40","    11720.35","      355996781","        17913.91"
"31-Aug-2020","    11877.55","    11986.55","    11234.70","    11389.00","      370272059","        19507.28"
"01-Sep-2020","    11480.10","    11629.80","    11340.10","    11493.60","      230316545","        12244.48"
"02-Sep-2020","    11468.60","    11522.70","    11363.40","    11490.55","      158854945","         8712.90"
"03-Sep-2020","    11526.70","    11555.55","    11346.05","    11371.35","      126711703","         7069.82"
"04-Sep-2020","    11183.30","    11282.20","    11087.95","    11157.75","      190907471","         9996.69"
"07-Sep-2020","    11171.40","    11194.25","    11059.15","    11143.50","      145069369","         8036.64"
"08-Sep-2020","    11153.35","    11205.20","    11046.25","    11086.20","      141362874","         7957.42"
"09-Sep-2020","    10982.65","    11029.65","    10827.15","    10887.60","      192868029","         9170.06"
"10-Sep-2020","    10978.80","    11062.25","    10871.45","    10968.05","      181911895","         9022.43"
"11-Sep-2020","    10988.05","    11054.30","    10873.05","    10966.95","      144794315","         7932.31"
"14-Sep-2020","    11056.40","    11086.00","    10754.45","    10782.65","      179087290","         8744.42"
"15-Sep-2020","    10850.30","    10950.35","    10798.65","    10925.95","      149180443","         7714.81"
"16-Sep-2020","    10936.50","    11041.50","    10873.55","    11016.10","      155242357","         7614.55"
"17-Sep-2020","    10917.15","    10980.80","    10851.10","    10881.15","      129708499","         6657.76"
"18-Sep-2020","    10938.75","    10944.10","    10670.35","    10746.85","      221529758","        11365.56"
"21-Sep-2020","    10728.00","    10775.10","    10488.95","    10527.20","      166902688","         8041.38"
"22-Sep-2020","    10562.10","    10565.05","    10355.50","    10414.85","      177091480","         8355.83"
"23-Sep-2020","    10511.95","    10515.95","    10294.20","    10426.50","      147725457","         7183.12"
"24-Sep-2020","    10301.45","    10329.40","    10113.55","    10134.80","      183765116","        10088.57"
"25-Sep-2020","    10257.65","    10376.45","    10114.50","    10332.25","      157232164","         8471.74"
"28-Sep-2020","    10416.75","    10613.55","    10363.50","    10591.35","      132854165","         7166.33"
"29-Sep-2020","    10647.45","    10680.45","    10482.35","    10561.90","      124410896","         6897.30"
"30-Sep-2020","    10562.10","    10667.45","    10480.65","    10622.40","      128725843","         6825.28"
"01-Oct-2020","    10726.80","    10968.45","    10717.75","    10949.60","      149350638","         8432.49"
"05-Oct-2020","    10981.95","    11137.45","    10943.40","    10963.25","      148107085","         8063.52"
"06-Oct-2020","    11098.30","    11329.75","    11092.40","    11308.90","      136736311","        10015.55"
"07-Oct-2020","    11304.90","    11380.10","    11190.80","    11340.90","      137337014","         9024.35"
"08-Oct-2020","    11423.85","    11536.15","    11375.75","    11433.50","      163782007","         9649.18"
"09-Oct-2020","    11477.10","    11726.20","    11420.90","    11648.45","      225886758","        13563.76"
"12-Oct-2020","    11691.50","    11798.95","    11518.50","    11589.90","      169980486","         8511.59"
"13-Oct-2020","    11572.60","    11612.05","    11449.85","    11480.95","      126294812","         7164.94"
"14-Oct-2020","    11435.85","    11722.55","    11344.15","    11686.65","      141991001","         8524.87"
"15-Oct-2020","    11705.35","    11771.35","    11309.05","    11341.60","      170628869","        10134.98"
"16-Oct-2020","    11395.90","    11569.15","    11364.10","    11512.80","      126576497","         7719.93"
"19-Oct-2020","    11691.55","    11825.65","    11631.10","    11803.75","      198470039","        11346.27"
"20-Oct-2020","    11770.70","    11880.20","    11730.00","    11820.80","      141846524","         8405.70"
"21-Oct-2020","    11880.50","    12022.55","    11724.10","    11964.40","      204192352","        13003.72"
"22-Oct-2020","    11885.20","    12003.30","    11818.95","    11921.35","      161174525","        10802.67"
"23-Oct-2020","    12003.05","    12043.55","    11898.65","    11947.40","      147896114","         8432.90"
"26-Oct-2020","    11957.40","    11976.95","    11722.05","    11827.85","      148076498","         8961.70"
"27-Oct-2020","    11905.00","    12102.10","    11771.35","    12082.10","      205038900","        15658.98"
